See the Statuspage Knowledge Base article about importing Subscribers at: https://statuspage.groovehq.com/knowledge_base/topics/importing-subscribers-via-csv,,,,,,,,,,,,,,
Note: this file is full of dummy data and should not be re-uploaded as an import.

Email Subscribers,,,,,,,,,,,,,,
type,email address,skip confirmation notification,component codes (optional),,,,,,,,,,,
email,first_email_subscriber@statuspage.io,yes,n097s9kg06ry;,,,,,,,,,,,
email,another_example@statuspage.io,yes,0bnr0wzc16dv;,,,,,,,,,,,
email,example_subscriber@statuspage.io,yes,0bnr0wzc16dv;n097s9kg06ry;,,,,,,,,,,,
,,,,,,,,,,,,,,
SMS Subscribers,,,,,,,,,,,,,,
type,number,country,send this person a confirmation email?,component codes (optional),,,,,,,,,,
sms,123-345-5678,us,yes,n097s9kg06ry;,,,,,,,,,,
sms,20 7123 4567,gb,no,0bnr0wzc16dv;,,,,,,,,,,
sms,02 7213 4567,au,yes,0bnr0wzc16dv;n097s9kg06ry;,,,,,,,,,,
,,,,,,,,,,,,,,
Webhook Subscribers,,,,,,,,,,,,,,
type,url,email address,send this person a confirmation email?,component codes (optional),,,,,,,,,,
webhook,http://www.example.com/api_endpoint,webhook_subscriber@statuspage.io,yes,n097s9kg06ry;,,,,,,,,,,
webhook,http://www.webhook.com/api_endpoint,update_subscriber@statuspage.io,no,0bnr0wzc16dv;,,,,,,,,,,
webhook,http://www.someothersite.com/api_endpoint,api_subscriber@statuspage.io,yes,0bnr0wzc16dv;n097s9kg06ry;,,,,,,,,,,
,,,,,,,,,,,,,,
